Sr_No,Category,Date,Subject,Link,Status,Processed_Date,OCR_Method,Content_Length,Processing_Time,File_Path,Error
1.1.10,ADMINISTRATION,28.08.2012,Delegation of Power to Chairman;Members and other officers of the NHAI- Modification of power for Authorization of tour of Regional Officers.,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.10.pdf,Processed,2025-08-06 19:48:14,EasyOCR_Error,37,9.99s,output/pdfs/1.1.10_ADMINISTRATION.pdf,
1.1.11,ADMINISTRATION,20.11.2012,Delegation of Power to Chairman;Members and other officers of the NHAI,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.11.pdf,Processed,2025-08-06 19:48:16,EasyOCR_Error,37,2.11s,output/pdfs/1.1.11_ADMINISTRATION.pdf,
1.1.12,ADMINISTRATION,16.4.2013,Delegation of power to Chairman;Members and other officers of the NHAI,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.12.pdf,Processed,2025-08-06 19:48:18,EasyOCR_Error,37,1.97s,output/pdfs/1.1.12_ADMINISTRATION.pdf,
1.1.13,ADMINISTRATION,27.8.2013,Delegation of power to Chairman;Members and other officers of the NHAI.,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.13.pdf,Processed,2025-08-06 19:48:20,EasyOCR_Error,37,1.95s,output/pdfs/1.1.13_ADMINISTRATION.pdf,
1.1.14,ADMINISTRATION,22.1.2014,Delegation of Power to Chairman;Members and other officers of the NHAI.,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.14.pdf,Processed,2025-08-06 19:48:22,EasyOCR_Error,37,2.01s,output/pdfs/1.1.14_ADMINISTRATION.pdf,
1.1.15,ADMINISTRATION,20.03.2014,Delegation of powers to GM level officers posted as Regional officers in Regional Offices.,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.15.pdf,Processed,2025-08-06 19:48:24,EasyOCR_Error,37,1.94s,output/pdfs/1.1.15_ADMINISTRATION.pdf,
1.1.16,ADMINISTRATION,16.09.2014,Delegation of power to Chairman;Members and other officers of the NHAI.,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.16.pdf,Processed,2025-08-06 19:48:26,EasyOCR_Error,37,1.90s,output/pdfs/1.1.16_ADMINISTRATION.pdf,
1.1.17,ADMINISTRATION,15.03.2016,Presenting Mementoes to the officers/staff on their repatriation/superannuation/retirement.,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.17.pdf,Processed,2025-08-06 19:48:28,EasyOCR_Error,37,2.09s,output/pdfs/1.1.17_ADMINISTRATION.pdf,
1.1.18,ADMINISTRATION,25.04.2016,Delegation of power to Chairman; Members and other officers of the NHAI,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.18.pdf,Processed,2025-08-06 19:48:30,EasyOCR_Error,37,1.97s,output/pdfs/1.1.18_ADMINISTRATION.pdf,
1.1.19,ADMINISTRATION,25.01.2017,Delegation of powers for expenditure on Inauguration/ Bhoomi Pujan/ foundation stone laying/ any other ceremony.,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.19.pdf,Processed,2025-08-06 19:48:32,EasyOCR_Error,37,1.98s,output/pdfs/1.1.19_ADMINISTRATION.pdf,
