id,title,category,date,method,content_length,processing_time
1.1.10,Delegation of Power to Chairman;Members and other officers of the NHAI- Modification of power for Authorization of tour of Regional Officers.,ADMINISTRATION,28.08.2012,EasyOCR_Error,37,0.8654704093933105
1.1.11,Delegation of Power to Chairman;Members and other officers of the NHAI,ADMINISTRATION,20.11.2012,EasyOCR_Error,37,0.2782895565032959
1.1.12,Delegation of power to Chairman;Members and other officers of the NHAI,ADMINISTRATION,16.4.2013,EasyOCR_Error,37,0.2637946605682373
1.1.13,Delegation of power to Chairman;Members and other officers of the NHAI.,ADMINISTRATION,27.8.2013,EasyOCR_Error,37,0.23108124732971191
1.1.14,Delegation of Power to Chairman;Members and other officers of the NHAI.,ADMINISTRATION,22.1.2014,EasyOCR_Error,37,0.2502317428588867
1.1.15,Delegation of powers to GM level officers posted as Regional officers in Regional Offices.,ADMINISTRATION,20.03.2014,EasyOCR_Error,37,0.26264476776123047
1.1.16,Delegation of power to Chairman;Members and other officers of the NHAI.,ADMINISTRATION,16.09.2014,EasyOCR_Error,37,0.21935129165649414
1.1.17,Presenting Mementoes to the officers/staff on their repatriation/superannuation/retirement.,ADMINISTRATION,15.03.2016,EasyOCR_Error,37,0.27925968170166016
1.1.18,Delegation of power to Chairman; Members and other officers of the NHAI,ADMINISTRATION,25.04.2016,EasyOCR_Error,37,0.2874271869659424
1.1.19,Delegation of powers for expenditure on Inauguration/ Bhoomi Pujan/ foundation stone laying/ any other ceremony.,ADMINISTRATION,25.01.2017,EasyOCR_Error,37,0.3370692729949951
